id,name,artist,artist id,popularity,danceability,energy level,playlist sources,playlist occurances
0HXHJJz7mX6vLKCF52SB3S,Jag är en wild story,Håkan Hellström,3H7Ez7cwaYw4L3ELy4v3Lc,39,,,['This Is Håkan Hellström'],1
0Hz0ySp6XYrBhEQPU16Hz8,Valborg,Håkan Hellström,3H7Ez7cwaYw4L3ELy4v3Lc,60,,,['This Is Håkan Hellström'],1
0I10SiGzRCQokFy9DUJAxf,Sleep Cabin Noise,Water Science,2Zhk6Eu0cTqw9zKlbMl3yv,68,,,['White Noise 10 Hours'],1
0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,Outkast,1G9G7WwrXka3Z1r7aIDjI7,83,,,['All Out 2000s'],1
0I93VgSamyAka0fD0xPOso,MIKEY,VC Barre,5QcMPl2wzC4KqivjfcyBIU,52,,,['100'],1
0I9zmUwqYAR4nqEb7uljMC,På Disco,Hooja,054fVwphDX8QB8Pm7IjRcL,47,,,['This Is Hooja'],1
0IFC5nbZ69OQiH8YFwTgTe,Solen Har Fläckar,Sebastian Stakset,46kV0QPO6PgUjtP69hvbfI,40,,,"['New Music Friday Sweden', '100']",2
0IKIz4G3os1faKY3GjLk3C,För Dig,Klaudy,7mV5Ag4VyHBPfUtpekZGyd,62,,,['Melodifestivalen - Årets bidrag'],1
0IUMxL5vvNXnOONt4XOQZE,Yael,Admira Mara,1Pmc0APexvMU8usc0gixhv,58,,,['Peaceful Meditation'],1
0IdwfnHFfyb7zc7GFs75QQ,Hammer to the Heart,Teddy Swims,33qOK5uJ8AR2xuQQAhHump,75,,,['Ny Pop'],1
0IqCoZ168iRc9LqfrYgpZy,KESI - Remix,Camilo,28gNT5KBp7IjEOQoevXf9N,67,,,['Happy Hits!'],1
0J2p4KYdr6Mg4ET6JPlbe1,Super Trouper,ABBA,0LcJLqbBmaGUft1e9Mm8HV,74,,,"['All Out 80s', 'This Is ABBA']",2
0JNcgsLk3Zdxgu75aGppmH,Forbidden Fruit,Leigh-Anne,79QUtAVxGAAoiWNlqBz9iy,57,,,['Ny Pop'],1
0JURM6CUrrINb497LZCmZm,Ambient White Noise Sound,Better Sleep FX,7dOdXBOM3O9jPWDBTIXSMD,52,,,['White Noise Baby Sleep'],1
0JXXm3RqxU8EKzX4P8M0n3,More And More - Single Version,Captain Hollywood Project,3El2sJgqTWkg1kkyHHAEu4,64,,,['90s Dance Party'],1
0JZ1ABjN8q7TNwMP39NjvU,Not Fair,Niklas Dee,1ZPGzmbFTn8GRjqTqnLiFE,76,,,['Gym Hits'],1
0JiY190vktuhSGN6aqJdrt,So What,P!nk,1KCSPY1glIKqW2TotWuXOR,78,,,['All Out 2000s'],1
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,86,,,['Songs to Sing in the Car'],1
0KMGxYKeUzK9wc5DZCt3HT,If You Leave Me Now,Chicago,3iDD7bnsjL9J4fO298r0L0,76,,,['Dinner with Friends'],1
0KNJrBUU6A93gsBlPo9F7Q,Tunnel Noise,Ecstatix,4Z2EaSwZpqDleK7b7qYSvx,64,,,['White Noise 10 Hours'],1
0KT6DLAELYSbgfUemzwGPX,Heaven,DJ Sammy,4z4m1P0iX2nRSPDBEZ8LBT,61,,,['Sommarhits Retro'],1
0KXcQySPBhAvDT5c6J1KxH,Essence,Rufus Ziegler,3al3f0Fd8OQ3OJj4GfpE2f,68,,,['Sleep'],1
0Kho40qp8dvZYbzXHMfSWN,Dunka mig gul & blå,Frida,29arE7CIm3KL75GqajaVa7,34,,,['Sommarhits Retro'],1
0Kk7kohYw6pxdD6EqFN6xG,Pärlor,Håkan Hellström,3H7Ez7cwaYw4L3ELy4v3Lc,33,,,['This Is Håkan Hellström'],1
0KnatBv9CtD7s3LMFfJiAm,Hela världen väntar,Samir & Viktor,4SR9oxWziAoPR4kTrekBi6,56,,,['Melodifestivalen - Årets bidrag'],1
0KvWitOwZB3cc5ldWRu70T,Kiss Me Thru The Phone,Soulja Boy,6GMYJwaziB4ekv1Y6wCDWS,78,,,['All Out 2000s'],1
0LDUzTvKVEla4L7GusNck2,POOR,gqtis,5b62Fx0yQzdpnX9xkUjMnB,70,,,['phonk'],1
0LEzTG4JEiFgNg6XbgGQh2,Anthazit Plastics,Starshine Strum,3dmDs1HKPCEKt9jQzfRSLs,69,,,['Sleep'],1
0LMwmV37RCmBO2so0szAFs,Whatever,Kygo,23fqKkggKUBHNkbKtXEls4,89,,,"['Sommarhits 2024', ""It's Hits Sweden"", 'Happy Hits!', 'Today’s Top Hits', 'Club Hits 2024']",5
0LZy30mVmxqUpdQmaXKXBd,ADIVINO,Myke Towers,7iK8PXO48WeuP03g8YR51W,89,,,['Today’s Top Hits'],1
0Lg4ckCFjFUeyHOeSozcWS,"The Key, The Secret",Urban Cookie Collective,1QYMj6ouUhi6yis1HE8M68,56,,,['90s Dance Party'],1
0Lk3eSBZOCtRwRqKxLgyqV,FREAKY,Ringnes-Ronny,4TNb6OInXahdseLnzAY1eL,62,,,"[':)', 'Sommarhits 2024', '30 km/h']",3
0LqMjug9C2LLSxsLfco0tg,Fri till slut - Spotify Singles,Dina Ögon,55Juru3AZOT8GrCxOaV3EI,41,,,['Aktuellt'],1
0M8XcBsYL0Gm8ewxTPYXzQ,White Noise Low Frequency,Chrome Details Noise,3nVd3Up7f9uluILXNuLWis,65,,,['White Noise 10 Hours'],1
0MDwJr1wfUGsrWyQ378nNo,Kesunyian,Waneesa,62IrHmSFccbsuwIFWQKEgg,56,,,['Peaceful Meditation'],1
0MEKMPpviMgGWIZs52KkIj,Stockholm,PERZZONA,4WId87hZzznRDnqwQQLyeC,34,,,"['New Music Friday Sweden', '30 km/h']",2
0MU5VmOJrg1qbO8ri8GUfQ,För dig,Lars Winnerbäck,33zLgL7tT1vg7eRpWYX5uI,45,,,['This Is Lars Winnerbäck'],1
0MaVhvIUlTyaqCPIoaWFv3,ROM & COLA,Facket,5f5d0ji6hrxwI4sREQl3hK,41,,,['30 km/h'],1
0MpQj2Fd3kVlr5ZoK22jxd,Head,DallasK,7uas0F5EhsZg6KDJ7yy7rW,46,,,['Club Hits 2024'],1
0N3A0tvQ3ppZerKA8Gsztp,Swear to God (feat. Future),Tee Grizzley,6AUl0ykLLpvTktob97x9hO,65,,,"['New Music Friday Sweden', 'RapCaviar']",2
0N5NNIaNs3YVhiyt22ZYhG,The New World,Cardi Mist,3ddw8VOjGZrR2G6dFCjamb,67,,,['Sleep'],1
0NG4MkcDRdtq3YuttON5W7,Bra vibrationer (Du ger mig bra vibrationer),Dolores,4qyhURA0g9oibogcNPMZaP,45,,,['30 km/h'],1
0NbAwRGkpCrY8FZsH6Cf3H,Choices,Sôfur,4Ooe7DB6fuhAtdr6tXVJfT,64,,,['Peaceful Meditation'],1
0NlByUffMwnOmFjoGgJNCs,Insightful,Noah Florence,6jzQUeRZexHKG2fjsCpmi6,68,,,['Sleep'],1
0NvSf9pbqPEaNwhX6PdHXp,Happiness,Benjamin Ingrosso,7jEEE187pVG6InOxn03oA5,45,,,['This Is Benjamin Ingrosso'],1
0NwGC0v03ysCYINtg6ns58,Better Than Revenge (Taylor's Version),Taylor Swift,06HL4z0CvFAxyc27GXpf02,72,,,['This Is Taylor Swift'],1
0O45fw2L5vsWpdsOdXwNAR,SexyBack (feat. Timbaland),Justin Timberlake,31TPClRtHm23RisEBtV3X7,80,,,['All Out 2000s'],1
0O5vkNyf8VcsKKaK5r4Jfw,Basic White Noise Part 2,Aska Mill,3mkmnTAqRXg1NysbtuFS5P,67,,,['White Noise 10 Hours'],1
0O7jPjU280XNkSXjcI2dSP,Therapy,Miss Li,04HqRx07Bv9gh7rsrMTqs7,38,,,['This Is Miss Li'],1
0OHyE7d3EfGT6jIDVRN4Qn,Skip,Sebastian Ingrosso,6hyMWrxGBsOx6sWcVj1DqP,61,,,['Pepplåtar till träningspasset'],1
0PAcdVzhPO4gq1Iym9ESnK,Thinkin’ Bout Me,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,86,,,['Country Top 50'],1
0PEKJlRFMCfo99QMs3Yf0D,VARJE GÅNG,vem e du,2KBgumo8NAu59C5DwsTBUQ,19,,,['30 km/h'],1
0Ph6L4l8dYUuXFmb71Ajnd,Livin' la Vida Loca,Ricky Martin,7slfeZO9LsJbWgpkIoXBUJ,76,,,"['All Out 90s', 'Sommarhits Retro']",2
0PhL7aecZxj0wLXIdjmNft,Mr. Saxobeat - Radio Edit,Alexandra Stan,0BmLNz4nSLfoWYW1cYsElL,55,,,['Sommarhits Retro'],1
0Q0IVlqMV64kNLlwjPj0Hl,Killing Me Softly With His Song,Fugees,2WKdxPFRD7IqZvlIAvhMgY,79,,,['All Out 90s'],1
0QCWhIYVGx3ousdsUZgy84,Going Back,Koby Laver,639xerhpqwPMYay6bkjz75,59,,,['Peaceful Meditation'],1
0QCyenIbvoll6CIjDstGSj,Asking You Out,Quinn Perry Trio,16azKEAxILijPKm6gQf9Rb,55,,,['Jazz in the Background'],1
0QHEIqNKsMoOY5urbzN48u,Made You Look,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,83,,,"['Life is good!', 'Happy Hits!', 'Songs to Sing in the Car']",3
0QLTWps1wXP822ZviasXt7,Max Don't Have Sex with Your Ex,E-Rotic,59jv1JLa4XNxXg7uxd04Nu,46,,,['90s Dance Party'],1
0QOEWQEowuJUz7LRIe3F6b,Heroes Are Calling,Smash Into Pieces,2vhrwzjf9H3icunkVFi9tq,68,,,['Melodifestivalen - Årets bidrag'],1
0QPQvbiycgvx2H6OqJiczv,Gonna Be Late,Jill & Henry,4QkzpeG7jg03J4HrpXoTUi,57,,,['Jazz in the Background'],1
0QUavh8qOxWeGutYZHgymz,Unsure,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,67,,,"['Life is good!', 'Club Hits 2024', 'Sommarhits 2024']",3
0QfxhyX9dky9Zgfr2xhNzR,Donkey Kong,Hooja,054fVwphDX8QB8Pm7IjRcL,55,,,['This Is Hooja'],1
0QzBw7xBO5q6plc8hX5z7B,Endlich,Arata Rin,61cavYEyS6y1T99hc6gjYI,64,,,['Peaceful Piano'],1
0R902FnwJO8kBZYvtpQLrL,YUM YUM,LXNGVX,5IpS1TN1Crp8Ym4zjiIrtK,76,,,['phonk'],1
0RHTTfjCS4JP1lVDsTJPrR,DUCKA POPO I VOLVO,FESTEN,6kkPyeuOgSIKJGWbPCSW5h,40,,,['30 km/h'],1
0RO9W1xJoUEpq5MEelddFb,Stairway to Heaven - Remaster,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,65,,,['Rock Classics'],1
0RVmg31gzlshCm356g0HF2,BAIXO,xxanteria,4nl0CCx6PpEOOr2Z2ThPdp,73,,,['phonk'],1
0Rvg8IFZt5pHS6tCv3f2Hd,Vägen med regnbågen över,Håkan Hellström,3H7Ez7cwaYw4L3ELy4v3Lc,0,,,['This Is Håkan Hellström'],1
0RwUodOQMZwbJktcNYFq6x,FEMININE ENERGY,COBRAH,1AHswQqsDNmu1xaE8KpBne,56,,,['Pepplåtar till träningspasset'],1
0SGMCZngLMlB3w34r0cmaz,Circus X,SCARLET,1ezwRjcVcSgr0HNIwRd2CN,58,,,"['Melodifestivalen - Årets bidrag', ':)']",2
0SML6wWerD0yI2Xd4OUC1R,"Better Off (Alone, Pt. III)",Alan Walker,7vk5e3vY1uw9plTHJAMwjN,64,,,['Gym Hits'],1
0SdBkFh6u5IHIXqlBu0NyI,Yeah Glo!,GloRilla,2qoQgPAilErOKCwE2Y8wOG,79,,,['RapCaviar'],1
0Se7OnifRxYPVsimoV1Yyb,The Dark White Noise,Universal Waves,1J9iGTlSe1UKgzNbILBnL8,71,,,['White Noise 10 Hours'],1
0SiywuOBRcynK0uKGWdCnn,Bad Romance,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,83,,,['All Out 2000s'],1
0T6MlMNUB10hPTou6NaMRL,Emotional privilege,Jody R,0PRbFVcIjvJfd4NaHLBxjJ,71,,,['Sleep'],1
0T8jHBhiFd1uN4A3Xv8DUP,HELIUM,Sofie Svensson & Dom Där,7LBwVPl8kIn3I949KmBVim,40,,,"['New Music Friday Sweden', ':)', '30 km/h']",3
0TCttoUHi6b3o6U9Hy4ZlD,Last Night on Earth,Josefine Ridell,0AAjLPnvriz6ZX3huVVko8,22,,,['Aktuellt'],1
0TDLuuLlV54CkRRUOahJb4,Titanium (feat. Sia),David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,82,,,['Songs to Sing in the Car'],1
